|region                                                                                              |count               |
|Virgin Islands, US                                                                                  |34                  |
|Angola                                                                                              |33                  |
|Dominican Republic                                                                                  |32                  |
|Iceland                                                                                             |31                  |
|Paraguay                                                                                            |31                  |
|Malaysia                                                                                            |30                  |
|Qatar                                                                                               |30                  |
|Bermuda                                                                                             |29                  |
|Pakistan                                                                                            |28                  |
|Zimbabwe                                                                                            |28                  |
|Slovakia                                                                                            |28                  |
|Venezuela                                                                                           |27                  |
|Honduras                                                                                            |27                  |
|Senegal                                                                                             |25                  |
|Ethiopia                                                                                            |24                  |
|Barbados                                                                                            |22                  |
|Mauritius                                                                                           |22                  |
|Central African Republic                                                                            |21                  |
|Seychelles                                                                                          |21                  |
|Boliva                                                                                              |21                  |
|Peru                                                                                                |21                  |
|Costa Rica                                                                                          |20                  |
|San Marino                                                                                          |20                  |
|Papua New Guinea                                                                                    |19                  |
|Democratic Republic of the Congo                                                                    |19                  |
|Cyprus                                                                                              |19                  |
|Belize                                                                                              |19                  |
|Uruguay                                                                                             |18                  |
|Antigua                                                                                             |18                  |
|Lebanon                                                                                             |18                  |
|Bahamas                                                                                             |18                  |
|Ivory Coast                                                                                         |18                  |
|Saudi Arabia                                                                                        |17                  |
|Madagascar                                                                                          |17                  |
|Sri Lanka                                                                                           |16                  |
|Kazakhstan                                                                                          |16                  |
|Ecuador                                                                                             |15                  |
|Chile                                                                                               |15                  |
|Sierra Leone                                                                                        |15                  |
|Tunisia                                                                                             |15                  |
|Bahrain                                                                                             |15                  |
|Bosnia and Herzegovina                                                                              |13                  |
|Trinidad                                                                                            |13                  |
|Cayman Islands                                                                                      |13                  |
|Bhutan                                                                                              |12                  |
|Cameroon                                                                                            |12                  |
|Uzbekistan                                                                                          |12                  |
|Guinea                                                                                              |11                  |
|Zambia                                                                                              |11                  |
|Republic of Congo                                                                                   |10                  |
|Swaziland                                                                                           |10                  |
|Namibia                                                                                             |10                  |
|Rwanda                                                                                              |10                  |
|Vietnam                                                                                             |10                  |
|Maldives                                                                                            |10                  |
|Albania                                                                                             |9                   |
|Suriname                                                                                            |9                   |
|Tanzania                                                                                            |9                   |
|Syria                                                                                               |9                   |
|Uganda                                                                                              |9                   |
|Togo                                                                                                |9                   |
|Nicaragua                                                                                           |9                   |
|Bangladesh                                                                                          |9                   |
|Andorra                                                                                             |8                   |
|Vanuatu                                                                                             |8                   |
|Lesotho                                                                                             |8                   |
|Liechtenstein                                                                                       |8                   |
|Saint Vincent                                                                                       |8                   |
|Gambia                                                                                              |8                   |
|Djibouti                                                                                            |8                   |
|Iraq                                                                                                |8                   |
|Malta                                                                                               |8                   |
|Yemen                                                                                               |8                   |
|Moldova                                                                                             |8                   |
|Luxembourg                                                                                          |8                   |
|Guyana                                                                                              |8                   |
|Haiti                                                                                               |8                   |
|Equatorial Guinea                                                                                   |8                   |
|Chad                                                                                                |7                   |
|Benin                                                                                               |7                   |
|Panama                                                                                              |7                   |
|Sudan                                                                                               |7                   |
|Mozambique                                                                                          |7                   |
|Laos                                                                                                |7                   |
|Georgia                                                                                             |6                   |
|Mauritania                                                                                          |6                   |
|Curacao                                                                                             |6                   |
|Botswana                                                                                            |6                   |
|Mali                                                                                                |6                   |
|El Salvador                                                                                         |6                   |
|Libya                                                                                               |5                   |
|Oman                                                                                                |5                   |
|Macedonia                                                                                           |5                   |
|Samoa                                                                                               |5                   |
|Tonga                                                                                               |5                   |
|Jordan                                                                                              |5                   |
|Gabon                                                                                               |5                   |
|Aruba                                                                                               |5                   |
|Grenada                                                                                             |5                   |
|Myanmar                                                                                             |5                   |
|Azerbaijan                                                                                          |4                   |
|Monaco                                                                                              |4                   |
|Malawi                                                                                              |4                   |
|Burkina Faso                                                                                        |4                   |
|Virgin Islands, British                                                                             |4                   |
|Armenia                                                                                             |3                   |
|American Samoa                                                                                      |3                   |
|Niger                                                                                               |3                   |
|Nepal                                                                                               |2                   |
|Cook Islands                                                                                        |2                   |
|Nauru                                                                                               |1                   |
|Solomon Islands                                                                                     |1                   |
